month,day,year,sno,state,total_schools,reported_schools,meal_not_served,food_grains,fund,cook_cum_helper,ngo_shg,holidays,others
1,14,2026,2,GOA,1216,1216,66,1,0,0,0,64,1
1,14,2026,3,HIMACHAL PRADESH,14416,3260,117,0,0,0,2,112,3
1,14,2026,4,MADHYA PRADESH,88192,59967,967,33,0,4,3,637,290
1,14,2026,5,MAHARASHTRA,83605,26235,2418,0,3,109,0,1863,443
1,14,2026,6,MIZORAM,2481,1760,1,0,0,0,0,0,1
1,14,2026,7,TRIPURA,4327,94,16,2,0,0,0,9,5
1,14,2026,8,WEST BENGAL,81824,40691,12698,2,0,95,16,6060,6525
1,15,2026,1,A & N ISLANDS,325,325,2,0,0,0,0,2,0
1,15,2026,2,BIHAR,65961,54754,462,5,8,14,22,5,408
1,15,2026,3,GOA,1216,1172,12,0,0,0,0,11,1
1,15,2026,4,GUJARAT,32251,7593,532,1,2,25,0,484,20
1,15,2026,5,HIMACHAL PRADESH,14416,9051,31,0,0,0,0,29,2
1,15,2026,6,MADHYA PRADESH,88192,82455,3010,34,1,6,5,2583,381
1,15,2026,7,MAHARASHTRA,83605,66823,1543,0,8,212,0,977,346
1,15,2026,8,MIZORAM,2481,1839,4,0,0,0,0,1,3
1,15,2026,9,ODISHA,50354,40238,55,0,0,0,0,5,50
1,15,2026,10,RAJASTHAN,67628,42744,3658,42,0,27,35,3075,479
1,15,2026,11,TRIPURA,4327,4315,7,3,0,0,0,1,3
1,15,2026,12,UTTARAKHAND,16273,11158,1255,0,0,0,0,1214,41
1,15,2026,13,WEST BENGAL,81824,73238,6024,1,1,75,2,997,4948
1,16,2026,1,A & N ISLANDS,325,325,1,0,0,0,0,1,0
1,16,2026,2,ASSAM,43785,39349,4,0,0,0,0,0,4
1,16,2026,3,BIHAR,65961,54345,502,4,4,3,7,422,62
1,16,2026,4,DELHI,2793,2498,3,0,0,0,0,0,3
1,16,2026,5,GOA,1216,1216,146,3,0,0,0,140,3
1,16,2026,6,GUJARAT,32251,31770,116,3,1,27,0,40,45
1,16,2026,7,HIMACHAL PRADESH,14416,9068,33,0,0,0,0,29,4
1,16,2026,8,MADHYA PRADESH,88192,86464,1019,20,0,2,1,580,416
1,16,2026,9,MAHARASHTRA,83605,77190,749,0,6,237,0,291,215
1,16,2026,10,MIZORAM,2481,1933,1,0,0,0,0,0,1
1,16,2026,11,ODISHA,50354,43344,250,0,0,0,0,182,68
1,16,2026,12,PUNJAB,19574,411,2,0,0,0,0,1,1
1,16,2026,13,RAJASTHAN,67628,49345,1436,69,1,29,10,971,356
1,16,2026,14,TRIPURA,4327,4297,58,0,0,0,0,42,16
1,16,2026,15,UTTAR PRADESH,141688,106521,802,35,12,19,20,64,652
1,16,2026,16,UTTARAKHAND,16273,12883,2100,0,0,0,0,1883,217
1,16,2026,17,WEST BENGAL,81824,75972,2622,1,0,26,1,721,1873
1,17,2026,1,A & N ISLANDS,325,325,11,0,0,0,0,11,0
1,17,2026,2,ASSAM,43785,40965,16,1,0,0,0,1,14
1,17,2026,3,BIHAR,65961,58071,57,3,2,8,2,0,42
1,17,2026,4,DELHI,2793,2739,2,0,0,0,0,0,2
